Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
bc_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,240.998959,147.526865,141.073632,144.976486,148.977276,282.31378,264.331522,251.36881,243.942324,272.379538,281.496039,250.285499,240.521003,231.734148,266.761797,260.167075,247.43318,226.550516,179.494189,184.278883,183.057137,171.879046,185.855558,180.945843,199.693813,212.524211,196.291685,199.769084,-,-
bc_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,28.082,29.389,28.404,28.862,27.414,26.744,27.109,25.178,26.313,27.86,27.7,23.622,22.357,26.242,29.379,27.811,21.929,23.859293,29.8039,26.382508,24.779997,24.23,24.371,24.321,21.893771,19.875951,33.443218,34.603459,-,-
bc_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,24.071,24.769,20.982,13.719,13.571,1.121,15.731,9.78,8.522,6.257,6.617,6.753,9.314,8.837,17.3,9.231,12.088,12.103,9.683,11.119,6.194,10.607,10.832,9.597,10.733,10.6,12.348,9.728,-,-
bc_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,6.439,7.005,8.586,8.29,8.894,10.488,9.777,9.589,10.518,9.764,11.428,11.128,11.468,10.822,9.933,9.611,12.938,8.654,8.259,8.012,4.891,7.327,5.792,6.766,11.059005,12.558,14.034,15.031025,-,-
bc_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,15.226,14.187,12.995,13.419,14.309,14.291,14.064,16.162,15.338,18.614,14.162,10.209,11.6,12.046,10.52,11.911,9.968,8.142,7.687,6.875,6.013,7.205,7.083,5.896007,6.939005,6.854,7.216,7.86,-,-
bc_ind_Table 9: Iron and Steel Secondary Energy Use and GHG Emissions,0.191,0.103,0.315,0.68,0.509,0.133,0.138,0.16,0.174,0.165,0.174,0.228,0.175,0.169,0.163,0.154,1.267,1.446,1.366,1.142,1.08,1.088,1.204,0.923,0.782,0.506,1.448,0.864,-,-
bc_ind_Table 10: Other Manufacturing Secondary Energy Use and GHG Emissions,42.837641,131.302185,134.000468,139.039314,154.039574,66.69407,70.527828,64.00619,65.495676,72.055212,87.928761,93.280751,81.468047,88.262852,88.326953,94.660125,69.28622,68.457292,53.290161,49.111084,51.720487,49.941654,52.799886,58.971414,59.357394,64.71614,54.140697,55.552755,-,-
bc_ind_Table 11: Forestry Secondary Energy Use and GHG Emissions,2.984,2.416,2.691,2.728,2.776,2.924,3.794,4.06,4.372,4.659,5.896,8.673,8.898,8.974,9.384,9.701,10.627,9.725,10.284,5.085107,6.477,5.829,6.007005,6.676124,6.457026,7.301006,6.632047,6.204023,-,-
"bc_ind_Table 12: Mining, Quarrying, Oil and Gas Extraction Secondary Energy Use and GHG Emissions",37.724,37.408,31.933,36.817,34.218,33.006,38.223,34.884,36.942,37.176,39.801,46.09,39.207,38.212,40.266,38.453,49.88,60.213,60.416,49.621718,54.340185,57.18,61.515046,60.2617,59.472337,66.594111,73.750311,72.757953,-,-
can_com_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,745.563679999999,765.932,785.15108,815.96432,806.90264,840.384,837.25,863.583,810.365,849.078,931.944556681328,913.810474409734,970.869470719945,1001.86131375137,981.873668686193,957.049752068759,903.119269476477,949.126274511811,955.973570027293,948.156524191893,935.909615698926,982.072085605848,946.8665371339,968.439583263088,1020.48936011761,1007.38187313559,997.376466331755,-,-,-
can_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,1424.646,1400.54,1424.457,1474.467,1508.61,1468.416,1546.15,1493.408,1393.921,1435.104,1491.159294,1433.124248,1504.841503,1514.43,1516.063072,1496.346084,1443.188503,1562.960388,1567.327623,1530.252397,1489.65186,1575.695607,1508.266953,1569.018621,1614.736783,1551.224405,1458.21632,-,-,-
can_tra_Table 1: Secondary Energy Use by Energy Source,1877.889,1807.282,1850.149,1873.209,1967.801,2011.695,2053.518,2126.19,2186.864,2240.466,2265.902,2255.101,2282.157,2349.808,2437.48,2479.742,2460.869,2562.072,2549.567,2509.053,2613.45,2616.5,2640.518,2692.804,2647.939,2636.278,2617.907,-,-,-
mb_com_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,41.4676,41.65948,42.0350399999998,43.3402000000001,41.9887599999999,45.044,46.192,46.665,43.591,42.5359999999999,46.7276124314999,45.23972897194,46.83282808133,46.80835855077,46.72923329345,45.66263829784,42.2669029125799,43.26139393935,44.79524435594,43.5339742765599,39.597,41.0579999999999,38.4859999999999,45.759,49.2209999999999,46.841,45.294,47.6619999999999,51.44,50.479
mb_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,53.858,52.281,49.469,51.047,50.762,51.35,54.611,51.148,46.692,47.475,47.83533,45.138808,46.872455,46.658532,47.14248,45.102903,39.865292,48.812847,51.153746,51.014602,48.156836,50.957102,49.943418,56.558329,57.931488,51.401889,50.332902,53.516854,57.845476,57.421127
mb_tra_Table 1: Secondary Energy Use by Energy Source,71.367,69.318,69.462,69.398,73.38,76.766,76.329,74.965,72.826,73.977,72.347,69.856,68.838,73.278,77.389,77.147,78.614,80.509,79.304,83.648,89.422,89.385,102.725,97.424,97.393,92.226,95.62,99.93,-,-
mb_ind_Table 1: Secondary Energy Use and GHG Emissions by Energy Source ,43.74,42.74,39.55,37.49,39.24,44.15,42.17,41.92,44.22,46.62,49.1,49.61,54.77,53.33,58.89,64.55,63.3,68.04,69.64,63.37,60.89,59.62,67.75,64.59,62.13,63.0,68.18,68.29,-,-
mb_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,2.865,2.496,2.407,1.895,2.205,2.191,1.867,2.185,3.116,3.137,2.762101,2.88828,3.264572,3.562858,3.827547,4.179191,3.872485,4.656564,4.769552,3.340209,4.082,4.636,6.232,6.097,6.266,5.586,6.661,6.579,-,-
mb_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,8.568095,5.015988,5.556656,5.266322,5.475386,10.235384,9.295888,8.598742,8.314774,8.389225,8.69197,8.46356,8.307764,8.47048,10.129994,11.219287,11.169853,10.847175,10.128593,8.174139,6.963537,6.942148,6.795529,6.859948,8.260926,6.336295,6.385484,5.99985,-,-
mb_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,7.459,8.086,7.165,6.204,5.159,4.87,5.006,4.726,5.061,4.995,5.114,5.568,5.727,5.563,7.705,7.836,7.444,7.635025,7.610723,6.894486,6.838406,5.96,5.989,5.806,6.004432,5.6906,5.684082,5.226337,-,-
mb_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,0.037,0.019,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.007,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,-,-
mb_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,1.224,0.951,0.218,0.177,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.0,0.0,0.0,0.001,0.001,0.002,-,-
mb_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,3.888,4.947,4.828,5.499,5.507,9.412,9.378,9.277,10.675,12.214,13.006,13.322,14.569,13.611,15.244,18.607,14.915,15.176,17.734,17.488,16.998,17.74,16.959,18.506,17.01,17.847,20.865,19.226,-,-
